Season,RankingDayNum,SystemName,TeamID,OrdinalRank
2021,133,COL,1101,93
2021,133,COL,1102,287
2021,133,COL,1103,123
2021,133,COL,1104,5
2021,133,COL,1105,284
2021,133,COL,1106,337
2021,133,COL,1107,242
2021,133,COL,1108,292
2021,133,COL,1110,175
2021,133,COL,1111,157
2021,133,COL,1112,49
2021,133,COL,1113,121
2021,133,COL,1114,240
2021,133,COL,1115,334
2021,133,COL,1116,11
2021,133,COL,1117,260
2021,133,COL,1119,105
2021,133,COL,1120,81
2021,133,COL,1122,249
2021,133,COL,1123,203
2021,133,COL,1124,2
2021,133,COL,1125,62
2021,133,COL,1127,322
2021,133,COL,1129,56
2021,133,COL,1130,248
2021,133,COL,1131,179
2021,133,COL,1132,168
2021,133,COL,1133,207
2021,133,COL,1136,110
2021,133,COL,1137,204
2021,133,COL,1138,106
2021,133,COL,1139,135
2021,133,COL,1140,12
2021,133,COL,1141,321
2021,133,COL,1142,329
2021,133,COL,1143,198
2021,133,COL,1144,197
2021,133,COL,1145,170
2021,133,COL,1146,323
2021,133,COL,1148,306
2021,133,COL,1149,343
2021,133,COL,1150,246
2021,133,COL,1151,102
2021,133,COL,1152,336
2021,133,COL,1153,90
2021,133,COL,1154,191
2021,133,COL,1155,22
2021,133,COL,1156,89
2021,133,COL,1157,134
2021,133,COL,1158,221
2021,133,COL,1159,14
2021,133,COL,1160,26
2021,133,COL,1161,43
2021,133,COL,1163,34
2021,133,COL,1164,226
2021,133,COL,1166,32
2021,133,COL,1167,173
2021,133,COL,1168,270
2021,133,COL,1169,255
2021,133,COL,1170,288
2021,133,COL,1172,88
2021,133,COL,1173,77
2021,133,COL,1174,232
2021,133,COL,1175,340
2021,133,COL,1176,347
2021,133,COL,1177,208
2021,133,COL,1178,189
2021,133,COL,1179,37
2021,133,COL,1180,137
2021,133,COL,1181,71
2021,133,COL,1182,148
2021,133,COL,1183,310
2021,133,COL,1184,118
2021,133,COL,1185,316
2021,133,COL,1186,125
2021,133,COL,1187,186
2021,133,COL,1188,305
2021,133,COL,1189,190
2021,133,COL,1190,154
2021,133,COL,1191,228
2021,133,COL,1192,250
2021,133,COL,1193,258
2021,133,COL,1194,230
2021,133,COL,1195,235
2021,133,COL,1196,50
2021,133,COL,1197,286
2021,133,COL,1198,319
2021,133,COL,1199,23
2021,133,COL,1200,315
2021,133,COL,1201,163
2021,133,COL,1202,117
2021,133,COL,1203,264
2021,133,COL,1204,231
2021,133,COL,1205,268
2021,133,COL,1206,124
2021,133,COL,1207,63
2021,133,COL,1208,84
2021,133,COL,1209,69
2021,133,COL,1210,33
2021,133,COL,1211,1
2021,133,COL,1212,244
2021,133,COL,1213,126
2021,133,COL,1214,295
2021,133,COL,1216,155
2021,133,COL,1218,205
2021,133,COL,1219,302
2021,133,COL,1220,151
2021,133,COL,1221,211
2021,133,COL,1222,6
2021,133,COL,1223,333
2021,133,COL,1224,259
2021,133,COL,1225,345
2021,133,COL,1226,275
2021,133,COL,1227,273
2021,133,COL,1228,4
2021,133,COL,1229,282
2021,133,COL,1230,335
2021,133,COL,1231,82
2021,133,COL,1232,116
2021,133,COL,1233,111
2021,133,COL,1234,17
2021,133,COL,1235,256
2021,133,COL,1236,290
2021,133,COL,1237,239
2021,133,COL,1238,177
2021,133,COL,1239,281
2021,133,COL,1240,145
2021,133,COL,1241,133
2021,133,COL,1242,16
2021,133,COL,1243,165
2021,133,COL,1244,339
2021,133,COL,1245,115
2021,133,COL,1246,127
2021,133,COL,1247,217
2021,133,COL,1248,169
2021,133,COL,1249,300
2021,133,COL,1250,278
2021,133,COL,1251,96
2021,133,COL,1252,224
2021,133,COL,1253,277
2021,133,COL,1254,201
2021,133,COL,1255,265
2021,133,COL,1256,60
2021,133,COL,1257,40
2021,133,COL,1258,70
2021,133,COL,1259,206
2021,133,COL,1260,29
2021,133,COL,1261,31
2021,133,COL,1262,213
2021,133,COL,1263,318
2021,133,COL,1264,274
2021,133,COL,1265,182
2021,133,COL,1266,100
2021,133,COL,1267,87
2021,133,COL,1268,54
2021,133,COL,1269,150
2021,133,COL,1270,342
2021,133,COL,1272,53
2021,133,COL,1273,119
2021,133,COL,1274,167
2021,133,COL,1275,193
2021,133,COL,1276,3
2021,133,COL,1277,57
2021,133,COL,1278,76
2021,133,COL,1279,67
2021,133,COL,1280,95
2021,133,COL,1281,27
2021,133,COL,1282,293
2021,133,COL,1283,86
2021,133,COL,1284,147
2021,133,COL,1285,229
2021,133,COL,1286,210
2021,133,COL,1287,75
2021,133,COL,1288,160
2021,133,COL,1290,341
2021,133,COL,1291,161
2021,133,COL,1292,320
2021,133,COL,1293,251
2021,133,COL,1294,267
2021,133,COL,1295,200
2021,133,COL,1296,328
2021,133,COL,1297,185
2021,133,COL,1298,38
2021,133,COL,1299,247
2021,133,COL,1300,314
2021,133,COL,1301,94
2021,133,COL,1303,332
2021,133,COL,1304,194
2021,133,COL,1305,80
2021,133,COL,1306,219
2021,133,COL,1307,301
2021,133,COL,1308,216
2021,133,COL,1309,312
2021,133,COL,1310,214
2021,133,COL,1311,149
2021,133,COL,1312,289
2021,133,COL,1313,143
2021,133,COL,1314,35
2021,133,COL,1315,309
2021,133,COL,1316,296
2021,133,COL,1317,85
2021,133,COL,1318,142
2021,133,COL,1319,299
2021,133,COL,1320,215
2021,133,COL,1321,141
2021,133,COL,1322,283
2021,133,COL,1323,131
2021,133,COL,1324,220
2021,133,COL,1325,79
2021,133,COL,1326,10
2021,133,COL,1328,51
2021,133,COL,1329,8
2021,133,COL,1330,101
2021,133,COL,1331,181
2021,133,COL,1332,18
2021,133,COL,1333,64
2021,133,COL,1334,113
2021,133,COL,1336,78
